PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Alkhurma hemorrhagic fever,Alkhurma hemorrhagic fever,DOID_0050308,http://purl.obolibrary.org/obo/DOID_0050308
Alkhurma virus,Alkhurma virus (organism),765000000,http://snomed.info/id/765000000
Conjunctivitis,conjunctivitis,MP_0001852,http://purl.obolibrary.org/obo/MP_0001852
Contagious equine metritis,metritis,MPATH_673,http://purl.obolibrary.org/obo/MPATH_673
Dourine,dourine,EFO_0007240,http://www.ebi.ac.uk/efo/EFO_0007240
Scarlet fever,scarlet fever,EFO_0007477,http://www.ebi.ac.uk/efo/EFO_0007477
Taenia solium,Taenia solium,NCIT_C125961,http://purl.obolibrary.org/obo/NCIT_C125961
Turkey rhinotracheitis,Turkey rhinotracheitis virus,NCBITaxon_11264,http://purl.obolibrary.org/obo/NCBITaxon_11264
Swine cysticercosis,Cysticercosis,NCIT_C34520,http://purl.obolibrary.org/obo/NCIT_C34520
Transmissible gastroenteritis virus,Transmissible gastroenteritis virus,NCBITaxon_11149,http://purl.obolibrary.org/obo/NCBITaxon_11149
Acute kidney injury,Acute kidney injury,HP_0001919,http://purl.obolibrary.org/obo/HP_0001919
Ethylene glycol,ethylene glycol,CHEBI_30742,http://purl.obolibrary.org/obo/CHEBI_30742
Ammonia,ammonia,CHEBI_16134,http://purl.obolibrary.org/obo/CHEBI_16134
Bromine,Bromine,NCIT_C163632,http://purl.obolibrary.org/obo/NCIT_C163632
Fluoride,fluoride,CHEBI_17051,http://purl.obolibrary.org/obo/CHEBI_17051
Isocyanate,isocyanate,XLMOD_00124,http://purl.obolibrary.org/obo/XLMOD_00124
Methyl,methyl,CHEBI_29309,http://purl.obolibrary.org/obo/CHEBI_29309
Strontium,Strontium,CHEBI_33324,http://purl.obolibrary.org/obo/CHEBI_33324
Toxic,Toxic,NCIT_C28004,http://purl.obolibrary.org/obo/NCIT_C28004
Herbicides,Herbicides,OMIT_0007707,http://purl.obolibrary.org/obo/OMIT_0007707
Opioid,Opioid,NCIT_C1506,http://purl.obolibrary.org/obo/NCIT_C1506
Radon,Radon,NCIT_C800,http://purl.obolibrary.org/obo/NCIT_C800
Adamsite,Adamsite (substance),50914008,http://snomed.info/id/50914008
Dibenzoxazepine,Dibenzoxazepine compound (substance),764000000,http://snomed.info/id/764000000
Diphosgene,Diphosgene,NCIT_C163651,http://purl.obolibrary.org/obo/NCIT_C163651
Soman,Soman,CHEBI_9195,http://purl.obolibrary.org/obo/CHEBI_9195
Ecology,Ecology,NCIT_C16526,http://purl.obolibrary.org/obo/NCIT_C16526
Science And Technology,Food Science and Technology,NCIT_C17605,http://purl.obolibrary.org/obo/NCIT_C17605
Society,society,GSSO_010535,http://purl.obolibrary.org/obo/GSSO_010535
HIV infection-AIDS,human immunodeficiency virus infectious disease,DOID_526,http://purl.obolibrary.org/obo/DOID_526
Anthrax,Anthrax,NCIT_C84565,http://purl.obolibrary.org/obo/NCIT_C84565
Arbovirus,Arbovirus,NCIT_C112230,http://purl.obolibrary.org/obo/NCIT_C112230
Arenaviral haemorrhagic fevers,Arenaviral hemorrhagic fever (disorder),73730005,http://snomed.info/id/73730005
Campylobacter enteritis,Campylobacter Enteritis,NCIT_C157804,http://purl.obolibrary.org/obo/NCIT_C157804
Colic,Colic,NCIT_C34494,http://purl.obolibrary.org/obo/NCIT_C34494
